A	50
E	97
Y	82
T	57
N	74
L	89
E	73
E	55
D	68
N	65
S	70
J	92
I	82
N	63
I	72
Z	46
J	77
S	49
Y	91
N	85
A	50
O	88
A	64
R	105
A	12
S	71
N	62
I	70
N	75
C	82
I	78
N	77
Y	93
T	90
M	67
P	79
W	57
K	73
Z	45
I	64
L	64
U	75
L	61
Z	89
D	82
R	66
E	68
W	55
I	79
A	85
M	80
J	77
J	67
E	58
Z	43
W	42
C	88
A	84
R	70
E	76
A	47
O	63
T	78
W	71
A	65
A	106
A	56
A	66
I	72
D	60
A	76
Y	69
I	76
H	85
J	68
Y	73
T	91
P	80
W	66
T	76
U	44
A	52
E	83
T	76
S	106
E	93
E	69
I	62
J	68
N	88
Y	76
D	99
S	53
W	70
A	92
A	85
I	75
E	61
E	82
C	72
D	75
N	82
N	73
O	72
I	93
D	74
W	83
Y	55
B	68
N	68
A	43
C	49
A	52
Z	47
N	73
O	73
E	60
T	67
A	64
B	76
Z	54
Z	50
C	68
C	52
O	98
H	93
N	75
K	73
L	87
N	87
O	77
T	63
K	76
K	77
O	78
N	72
Y	73
D	61
E	73
W	58
E	56
C	96
R	64
T	73
A	64
W	70
W	56
R	71
I	75
R	74
W	77
O	94
A	61
P	73
W	63
W	66
H	83
P	85
N	65
L	82
S	65
R	89
H	91
O	74
O	62
O	69
E	74
A	60
I	66
E	59
I	97
O	73
C	58
I	83
M	76
M	84
T	68
O	63
I	62
W	87
E	83
K	77
S	66
A	75
M	80
N	58
K	91
E	58
H	80
A	55
E	70
C	82
O	64
A	54
H	68
Y	71
Z	49
O	68
E	70
N	69
T	74
D	91
U	69
O	86
I	80
O	67
Z	87
R	103
I	78
K	85
A	50
C	91
W	59
N	74
A	50
T	56
N	65
O	70
C	90
J	70
B	94
I	81
C	57
N	76
P	74
O	75
T	77
N	64
W	78
P	96
W	61
I	86
U	75
P	56
E	60
L	71
Y	78
Z	65
S	56
O	85
K	84
J	92
I	74
O	77
I	81
I	67
H	70
N	60
