N	16
P	75
R	73
O	107
Y	61
N	101
A	57
S	75
E	84
Y	62
Y	60
M	21
I	67
O	68
H	104
E	72
I	29
R	70
R	59
O	67
E	64
Z	64
Y	56
O	21
I	67
A	65
I	81
W	42
A	63
T	59
I	69
T	61
W	69
M	29
J	73
L	72
N	21
T	69
Y	59
Y	18
N	10
D	75
T	78
I	21
I	61
U	45
H	95
E	65
S	69
C	84
J	97
N	102
Y	53
I	16
M	75
O	16
C	74
Z	92
K	68
J	16
N	75
M	88
W	77
R	68
E	73
A	85
I	73
P	87
O	67
O	70
N	60
L	84
C	54
O	10
Y	62
T	68
K	43
A	83
B	67
R	74
K	66
A	41
W	62
A	52
U	53
O	78
A	104
N	81
N	81
T	64
H	114
C	64
N	75
Z	55
K	79
A	63
N	68
T	60
C	78
N	18
A	73
O	56
O	69
N	102
I	18
D	68
O	98
N	134
E	55
E	79
L	80
A	74
S	47
W	75
H	106
W	74
J	60
A	81
E	77
C	73
M	66
Z	62
T	71
A	83
A	64
Y	62
L	62
W	69
D	73
H	79
O	75
K	74
I	91
C	68
P	80
J	81
M	74
R	66
R	70
Z	80
K	65
O	72
E	57
C	63
E	68
N	92
N	76
W	65
I	14
N	14
I	78
U	73
B	89
P	88
C	100
K	65
T	57
O	92
D	68
K	66
Z	75
I	83
D	71
B	63
S	64
S	79
A	89
N	75
C	62
H	83
A	72
S	73
R	54
L	63
I	69
A	55
E	66
O	85
Y	63
H	70
E	70
N	16
I	66
I	77
Z	90
I	16
W	70
E	74
E	74
E	65
S	63
Y	53
S	74
Z	74
P	68
A	63
W	73
I	35
C	50
O	65
C	84
D	73
W	77
W	78
A	70
S	63
K	56
I	102
A	71
E	90
J	66
W	77
E	84
A	69
E	80
A	58
N	70
L	79
J	69
P	87
W	76
D	82
E	82
O	101
E	74
N	67
O	75
O	59
I	64
Z	76
I	98
E	59
Z	74
L	76
